Story_Num	Sentence_Num	Sentence
1	1	If you were to journey to the North of England, you would come to a valley that is surrounded by moors as high as mountains.
1	2	It is in this valley where you would find the city of Bradford, where once a thousand spinning jennies that hummed and clattered spun wool into money for the long-bearded mill owners.
1	3	That all mill owners were generally busy as beavers and quite pleased with themselves for being so successful and well off was known to the residents of Bradford, and if you were to go into the city to visit the stately City Hall, you would see there the Crest of the City of Bradford, which those same mill owners created to celebrate their achievements.
1	4	It shows a sinister looking boar's head sitting on top of a well which seems puzzling at first, but the reason for this symbol is a matter of legend.
1	5	There was once, legend has it, a fearsome boar, which lived in a wood located just outside the manor of Bradford.
1	6	A source of great trouble to the local folk the boar was, bringing terror to the peaceful flocks and ravaging the countryside around.
1	7	Even worse, however, the boar most liked to go to the well that was in the wood and drink its fresh water, so that the people of Bradford had second thoughts about visiting the well.
1	8	That the people of Bradford bore the brunt of the beast's ferocity was unfair in the eyes of the people of the region.
1	9	Eventually, the issue reached the ears of the kindly Lord of the Manor who the people had often asked for help.
1	10	The Lord saw the severity of the problem the people faced and suggested a contest could solve the problem.
1	11	He said that whoever could kill the boar and bring as proof its head to the Manor House would be rewarded with land and fame.
1	12	It was the people of Bradford and the people who knew them who rejoiced at this proclamation but one question remained: who would kill the boar?
1	13	By the handsome reward many felt tempted, but the thought of the boar with its deadly tusks and face like thunder soon put an end to their ambitions.
1	14	However, there was one huntsman, who was still wet behind the ears, who decided the prize was worth a shot, in spite of the boar's reputation.
1	15	The huntsman discovered the boar preferred to come out in the middle of the day.
1	16	So he went to the wood by the well with his good bow, to bide his time.
1	17	Around noontime, the boar, feared by the locals, came out, as slow as a snail, from among the trees, just as the huntsman had predicted.
1	18	The huntsman leaped from his hiding place and through the heart with his fine arrows shot the boar.
1	19	Now the problem was no longer to kill the boar.
1	20	It was to find a way to carry the boar back.
1	21	The head was too heavy for the little huntsman to carry back to the Manor House, but the huntsman, who was as quick-witted and cunning as ever, asked himself, 'What else can I do to prove I killed the boar?'
1	22	The next instance he opened the boar's mouth and cut out its tongue, taking that as proof for the Lord.
1	23	He set out for the Manor House as quickly as he could and he had only been gone a few minutes when a second huntsman, not so bold as the first but a little more cunning, came on the scene.
1	24	Seeing the slain carcass of the boar, the huntsman rejoiced in his good fortune.
1	25	The second huntsman knew a shortcut to the Manor House was just around the nearby pond, and, being a bigger man than the first, was able to pick up the boar's head and carry it through the wood towards the prize that awaited him.
1	26	The Lord of the Manor was seated in his hall when the second huntsman burst through the door and began to spin a line.
1	27	'The woes of Bradford are ended!' he announced.
1	28	'With my own hand I have slain the boar!'
1	29	And, with that, at the feet of his lord he dropped the boar's enormous head.
1	30	'Then you will be rewarded, as I promised.'
1	31	'But first, let me examine the head of this monster,' said the Lord of the Manor.
1	32	To not examine the head in advance had not been very clever on the part of the huntsman.
1	33	Right away, the Lord noticed the tongue of the boar was missing and exclaimed, 'What is this? A boar with no tongue?'
1	34	He looked at the huntsman, dubiously.
1	35	'How come this creature has no tongue?' he demanded.
1	36	All eyes were on the huntsman.
1	37	The huntsman questioned by the Lord replied, 'I cannot say, my Lord.'
1	38	He was suddenly realizing his tricky situation could end badly for him.
1	39	Through the door at this moment, the first huntsman burst.
1	40	'The woes of Bradford are ended!' he cried.
1	41	'I have slain the boar the people of Bradford dreaded!'
1	42	All eyes turned to the man who now stood in the doorway.
1	43	'The reward is already given,' said the Lord of the Manor.
1	44	'The man here has brought to me the boar's head.'
1	45	'Then where is its tongue?' the first huntsman replied.
1	46	And, so saying, he drew out the boar's tongue he had put in his hunting pouch and related how he had ambushed the creature in the wood and cut out its tongue as proof of his victory.
1	47	Listening to the tale, the Lord of the Manor tried to discern which huntsman was telling him the truth and what the two huntsmen were thinking as they waited for him to make a decision.
1	48	Almost instantly, the Lord saw that the second huntsman had fed him a pack of lies and it was the first huntsman who was the true savior of Bradford.
1	49	The Lord believed the second huntsman had tried to steal the first huntsman's prize and so proclaimed the first huntsman the true victor.
1	50	The Lord wondered for a moment why he always encountered so much chicanery in his everyday interactions.
1	51	The huntsman who had earned his prize fair and square received as his reward a piece of land just outside the town, known thereafter as Hunt Yard.
1	52	His fame was indeed assured, but it was not nearly as lasting as that of the fearsome Bradford Boar.
2	1	A clear and joyous day it was and out on the wide open sea, thousands upon thousands of sparkling water drops, excited by getting to play in the ocean, danced all around.
2	2	One of these was a merry little fellow named Aqua, who danced on the silver backs of the fishes as they plunged up and down in the waves, and, no matter how high he sprung, he always came down again into his mother's lap.
2	3	His mother, you know, was the ocean, and very beautiful she looked that summer day in her dark blue dress and white ruffles.
2	4	By and by, the happy water drop tired of his play, and looking up to the clear sky above him, thought he would like to have a sail on one of the white, marshmallow-like clouds, instead of spending his whole life in the ocean.
2	5	Of the sky, little Aqua had always been afraid, but he decided to finally face his demons and suggested a solution involving the sun carrying him up to the sky would be ideal.
2	6	The sun understood Aqua's request came from his heart, so he acquiesced and also took ever so many other drops, so that Aqua might not be lonesome on the way.
2	7	It was only the sun that knew this, however, for all the other drops had been changed into fine mist or vapor and Aqua could not see them.
2	8	Do you know what vapor is?
2	9	If you breathe into the air, when it is cold enough, you will see it coming out of your mouth thick and fast like steam.
2	10	When the vapor is quite near the earth, we call it 'fog'.
2	11	Into vapor the water drops that danced in the ocean had been changed, because in their own shape they were too heavy for the sunbeams that the sun let out to carry.
2	12	Higher and higher they sailed, and though it was grand, Aqua and his friends were like fish out of water, so they grew quite dizzy.
2	13	They enjoyed looking down on the world below, while the wind scattered them across the four corners of the earth, but after a while it grew nearly time for the sun to go to bed.
2	14	He became very red in the face, and began to sink lower and lower, until suddenly he went clear out of sight!
2	15	Poor little Aqua, frightened by the impending cold and darkness, wished he could sleep not in the sky, but somewhere closer to earth.
2	16	Then Aqua heard the wind blow and conjectured that maybe the wind could take him back down to the ocean.
2	17	Indeed, the wind took pity on him and fanned him, together with all of his brothers and sisters, into a heavy gray cloud, after which he blew them apart and told them to hurry down, fast and furious to the earth, so they could have a fighting chance of reaching the ocean.
2	18	Down they went, rolling over each other until with a patter and clatter and spatter they touched the ground, and all the people that the raindrops fell on cried, 'It's raining', and took out their umbrellas.
2	19	Some of the drops that were the most fortunate, including Aqua, fell on a mountainside, and down the rocky cliff they ran.
2	20	Together they plunged into a mountain brook, which came foaming and dashing along, leaping over rocks and rushing down the hillside, until in the valley below they heard the strangest clattering noise.
2	21	The little water drops were then able to make out a flour mill that was standing on the bank.
2	22	Inside the mill, the water drops saw two great stones, which the big wheel kept whizzing round and round.
2	23	The stones, smoothed by the spinning, were busy grinding the wheat into flour and the corn into golden meal.
2	24	But what giant do you suppose it was who could turn and swing that tremendous wheel?
2	25	No giant at all.
2	26	It was just our tiny little water drops, who sprang on it by hundreds and thousands, and whirled it over and over.
2	27	It was lucky for the water drops that the brook where they were swimming next emptied into a beautiful pond where ducks and geese were living peacefully.
2	28	Aqua liked to play hide-and-seek in this pond, and it was his brother water drop who he fooled by swimming to a big pool of water and pretending to hide there, but then sneaking under a rock into an obscured little puddle.
2	29	His brother had blatantly peeked and even followed Aqua as he entered the big pool of water, so when he searched there and could not find him, he was extremely surprised and gave up.
2	30	Aqua liked this pond where he could play all day, so he stayed a good while, sailing up and down, taking the ducks' backs for ships and the frogs for horses, but after a time he tired of the dull life, and he and his brothers floated under a bridge for a long distance, until they saw another brook tumbling down a hillside.
2	31	'Come, let's join hands!' cried Aqua and because the water drops were all together, overcoming the brook was child's play.
2	32	It was by the help of Aqua and his brothers that the bewitching river was able to float heavy ships, though not so long ago it was only a little stream.
2	33	As the river grew wider and he could almost see the ocean, Aqua realized his journey was almost over and he had come full circle.
2	34	Back in the ocean, he felt right at home.
2	35	For him, this was the safest, sweetest place in the whole wide world.
2	36	During the warm summer evenings, if you take a walk on the sea beach, you will hear the gentle rippling swash of the waves and some say that it must be the gurgling voices of Aqua and his brother water drops telling each other about their wonderful journey around the world.
3	1	It was cold and nearly dark on the last evening of the old year, and the snow was falling fast and furious.
3	2	A little girl no one sheltered from the gelid air roamed through the streets with a bare head and naked feet, looking as poor as a church mouse.
3	3	It's true she had on a pair of slippers her mother had once given her when she left home, but they were as much use to her as a chocolate teapot.
3	4	The slippers owned by her mother were so large that the emaciated little creature had lost them while running across the street to avoid two carriages that were rolling along at a terrible rate.
3	5	One of the slippers she could not find, and a boy seized upon the other, saying that he could use it as a home for his little pet mouse.
3	6	So with her naked feet, which were quite red and blue with the cold, the little girl went on, wondering how she would get through this dreadful night.
3	7	She approached an old hovel she had used as a shelter a few times before, and found the entrance was locked.
3	8	Tough luck for the girl!
